id, weight, value
id,25,90
id,82,11
id,78,89
id,45,95
id,35,100
id,18,52
id,43,16
id,23,48
id,56,70
id,25,65
id,63,96
id,3,57
id,17,87
id,68,39
id,19,75
id,46,72
id,88,31
id,29,68
id,50,8
id,37,89
id,41,33
id,14,37
id,71,69
id,59,12
id,73,99
id,32,40
id,34,46
id,16,98
id,94,33
id,42,41
id,51,76
id,85,71
id,70,3
id,38,40
id,58,8
id,29,37
id,66,67
id,90,16
id,94,89
id,71,26
id,37,10
id,51,63
id,92,81
id,66,75
id,20,62
id,64,16
id,13,12
id,79,86
id,90,35
id,89,82
id,4,56
id,86,35
id,72,61
id,28,57
id,27,88
id,45,66
id,80,99
id,93,47
id,83,99
id,78,88
id,1,91
id,19,10
id,31,72
id,88,54
id,36,25
id,92,54
id,27,7
id,46,45
id,8,79
id,57,83
id,86,25
id,9,57
id,68,99
id,54,26
id,86,98
id,20,61
id,65,85
id,1,92
id,21,82
id,5,75
id,32,66
id,78,76
id,56,6
id,72,14
id,3,56
id,57,31
id,82,33
id,49,73
id,97,81
id,36,27
id,8,5
id,95,92
id,73,90
id,53,1
id,47,53
id,92,83
id,94,85
id,86,83
id,16,42
id,97,13
id,46,67
id,36,50
id,38,52
id,41,75
id,1,72
id,93,55
id,44,75
id,72,22
id,55,66
id,98,17
id,81,70
id,65,57
id,22,24
id,64,58
id,19,95
id,43,18
id,86,68
id,57,84
id,55,84
id,65,88
id,38,82
id,71,55
id,4,82
id,93,82
id,56,31
id,90,10
id,48,30
id,24,75
id,69,60
id,6,30
id,14,99
id,92,99
id,77,1
id,20,64
id,54,28
id,39,62
id,93,43
id,89,56
id,13,87
id,15,55
id,66,35
id,56,94
id,2,54
id,7,57
id,45,96
id,67,23
id,45,99
id,63,92
id,61,13
id,97,91
id,32,6
id,98,48
id,83,80
id,50,49
id,14,28
id,5,1
id,28,32
id,23,37
id,54,83
id,90,7
id,23,10
id,48,59
id,22,48
id,17,47
id,35,75
id,58,10
id,25,93
id,48,72
id,29,22
id,45,97
